card_name,set_name,card_number,rarity,raw_price,psa10_chance,expected_profit,roi_pct
FLAREON,SWSH09: BRILLIANT STARS TRAINER GALLERY,TG01/TG30,ULTRA RARE,21.15,0.25,23.39,51
M GARDEVOIR EX (FULL ART),GENERATIONS: RADIANT COLLECTION,RC31/RC32,ULTRA RARE,97.73,0.05,61.77,50
MEW VMAX,SWSH08: FUSION STRIKE,114/264,ULTRA RARE,16.36,0.53,20.73,50
M BLASTOISE EX,XY - EVOLUTIONS,22/108,ULTRA RARE,20.45,0.34,22.43,49
CELEBI V (ALTERNATE FULL ART),SWSH08: FUSION STRIKE,245/264,ULTRA RARE,94.85,0.44,59.09,49
MANECTRIC EX (113 FULL ART),XY - PHANTOM FORCES,113/119,ULTRA RARE,18.73,0.07,21.37,49
SLAKOTH - 212/191,SV08: SURGING SPARKS,212/191,ILLUSTRATION RARE,12.03,0.32,18.08,49
M CHARIZARD EX (Y) (SECRET),XY - FLASHFIRE,107/106,SECRET RARE,262.83,0.05,140.45,49
INFERNAPE - 173/167,SV06: TWILIGHT MASQUERADE,173/167,ILLUSTRATION RARE,13.15,0.44,18.53,49
SCIZOR - 205/197,SV03: OBSIDIAN FLAMES,205/197,ILLUSTRATION RARE,17.79,0.16,20.76,49
PIKACHU EX - 238/191,SV08: SURGING SPARKS,238/191,SPECIAL ILLUSTRATION RARE,335.14,0.35,173.21,48
RAIKOU V,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG41/GG70,ULTRA RARE,51.37,0.57,36.59,48
MEW VMAX (ALTERNATE ART SECRET),SWSH08: FUSION STRIKE,269/264,SECRET RARE,206.25,0.63,109.69,47
M SCEPTILE EX,XY - ANCIENT ORIGINS,8/98,ULTRA RARE,19.97,0.25,21.33,47
GLACEON VMAX (ALTERNATE ART SECRET),SWSH07: EVOLVING SKIES,209/203,SECRET RARE,274.02,0.71,140.58,47
LATIOS - 203/191,SV08: SURGING SPARKS,203/191,ILLUSTRATION RARE,34.66,0.3,27.99,47
NOIVERN V (ALTERNATE FULL ART),SWSH07: EVOLVING SKIES,196/203,ULTRA RARE,64.61,0.51,41.61,46
SPRIGATITO - 196/193,SV02: PALDEA EVOLVED,196/193,ILLUSTRATION RARE,54.44,0.23,36.81,46
CHARIZARD V,SWSH03: DARKNESS ABLAZE,019/189,ULTRA RARE,9.88,0.52,16.1,46
PIDGEOT EX (FULL ART),XY - EVOLUTIONS,104/108,ULTRA RARE,9.7,0.28,15.94,46
MEW (SECRET),CELEBRATIONS,025/025,SECRET RARE,72.81,0.73,44.88,46
M CHARIZARD EX,XY - EVOLUTIONS,13/108,ULTRA RARE,49.92,0.4,34.36,46
EEVEE - 188/167,SV06: TWILIGHT MASQUERADE,188/167,ILLUSTRATION RARE,87.4,0.43,51.1,45
BRUTE BONNET - 207/182,SV04: PARADOX RIFT,207/182,ILLUSTRATION RARE,12.63,0.41,16.97,45
LAPRAS,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG05/GG70,ULTRA RARE,21.17,0.32,20.72,45
TYRANITAR - 222/193,SV02: PALDEA EVOLVED,222/193,ILLUSTRATION RARE,81.61,0.19,47.83,45
MEW V (FULL ART),SWSH08: FUSION STRIKE,250/264,ULTRA RARE,32.14,0.49,25.62,45
RAIHAN (SECRET),SWSH07: EVOLVING SKIES,224/203,SECRET RARE,5.5,0.57,13.62,45
GOUGING FIRE EX - 204/162,SV05: TEMPORAL FORCES,204/162,SPECIAL ILLUSTRATION RARE,36.1,0.47,27.21,45
ALOLAN DUGTRIO - 208/191,SV08: SURGING SPARKS,208/191,ILLUSTRATION RARE,7.91,0.34,14.64,44
REGIDRAGO V (ALTERNATE FULL ART),SWSH12: SILVER TEMPEST,184/195,ULTRA RARE,23.38,0.68,21.23,44
M CHARIZARD EX (X) (SECRET),XY - FLASHFIRE,108/106,SECRET RARE,804.95,0.06,356.79,43
GYARADOS VMAX (SECRET),SWSH07: EVOLVING SKIES,207/203,SECRET RARE,45.95,0.71,30.45,43
SYLVEON EX (FULL ART),GENERATIONS: RADIANT COLLECTION,RC32/RC32,ULTRA RARE,140.67,0.03,70.82,43
GROTLE - 164/162,SV05: TEMPORAL FORCES,164/162,ILLUSTRATION RARE,16.2,0.44,17.47,42
CHARIZARD V (ALTERNATE FULL ART),SWSH09: BRILLIANT STARS,154/172,ULTRA RARE,344.68,0.5,154.32,42
PROFESSOR SYCAMORE,XY - STEAM SIEGE,114/114,ULTRA RARE,10.48,0.32,14.77,42
KYUREM EX,XY - ANCIENT ORIGINS,25/98,ULTRA RARE,4.42,0.38,12.22,42
REGIGIGAS VSTAR,SWSH: CROWN ZENITH: GALARIAN GALLERY,GG55/GG70,ULTRA RARE,21.68,0.62,19.32,41
JOLTEON VMAX,SWSH07: EVOLVING SKIES,051/203,ULTRA RARE,13,0.62,15.63,41
SUDOWOODO - 219/193,SV02: PALDEA EVOLVED,219/193,ILLUSTRATION RARE,22.93,0.23,19.67,41
MISTY'S DETERMINATION (FULL ART),XY - EVOLUTIONS,108/108,ULTRA RARE,32.49,0.26,23.49,41
M VENUSAUR EX,GENERATIONS,2/83,ULTRA RARE,24.23,0.17,20.1,41
GLOOM - 198/197,SV03: OBSIDIAN FLAMES,198/197,ILLUSTRATION RARE,28.92,0.21,21.84,41
BLAZIKEN VMAX,SWSH12: SILVER TEMPEST TRAINER GALLERY,TG15/TG30,ULTRA RARE,37.73,0.73,25.28,40
